region,subjects_with_data,total_subjects,coverage_pct
Left-Cerebellum-Cortex,365,365,100.0
Left-Thalamus-Proper,365,365,100.0
Left-Caudate,365,365,100.0
Left-Putamen,365,365,100.0
Left-Pallidum,365,365,100.0
Brain-Stem,365,365,100.0
Left-Hippocampus,365,365,100.0
Left-Amygdala,365,365,100.0
Left-Accumbens-area,365,365,100.0
Left-VentralDC,365,365,100.0
Right-Cerebellum-Cortex,365,365,100.0
Right-Thalamus-Proper,365,365,100.0
Right-Caudate,365,365,100.0
Right-Putamen,365,365,100.0
Right-Pallidum,365,365,100.0
Right-Hippocampus,365,365,100.0
Right-Amygdala,365,365,100.0
Right-Accumbens-area,365,365,100.0
Right-VentralDC,365,365,100.0
ctx-lh-caudalanteriorcingulate,365,365,100.0
ctx-lh-caudalmiddlefrontal,365,365,100.0
ctx-lh-cuneus,365,365,100.0
ctx-lh-entorhinal,365,365,100.0
ctx-lh-fusiform,365,365,100.0
ctx-lh-inferiorparietal,365,365,100.0
ctx-lh-inferiortemporal,365,365,100.0
ctx-lh-isthmuscingulate,365,365,100.0
ctx-lh-lateraloccipital,365,365,100.0
ctx-lh-lateralorbitofrontal,365,365,100.0
ctx-lh-lingual,365,365,100.0
ctx-lh-medialorbitofrontal,365,365,100.0
ctx-lh-middletemporal,365,365,100.0
ctx-lh-parahippocampal,365,365,100.0
ctx-lh-paracentral,365,365,100.0
ctx-lh-parsopercularis,365,365,100.0
ctx-lh-parsorbitalis,365,365,100.0
ctx-lh-parstriangularis,365,365,100.0
ctx-lh-pericalcarine,365,365,100.0
ctx-lh-postcentral,365,365,100.0
ctx-lh-posteriorcingulate,365,365,100.0
ctx-lh-precentral,365,365,100.0
ctx-lh-precuneus,365,365,100.0
ctx-lh-rostralanteriorcingulate,365,365,100.0
ctx-lh-rostralmiddlefrontal,365,365,100.0
ctx-lh-superiorfrontal,365,365,100.0
ctx-lh-superiorparietal,365,365,100.0
ctx-lh-superiortemporal,365,365,100.0
ctx-lh-supramarginal,365,365,100.0
ctx-lh-transversetemporal,365,365,100.0
ctx-lh-insula,365,365,100.0
ctx-rh-caudalanteriorcingulate,365,365,100.0
ctx-rh-caudalmiddlefrontal,365,365,100.0
ctx-rh-cuneus,365,365,100.0
ctx-rh-entorhinal,365,365,100.0
ctx-rh-fusiform,365,365,100.0
ctx-rh-inferiorparietal,365,365,100.0
ctx-rh-inferiortemporal,365,365,100.0
ctx-rh-isthmuscingulate,365,365,100.0
ctx-rh-lateraloccipital,365,365,100.0
ctx-rh-lateralorbitofrontal,365,365,100.0
ctx-rh-lingual,365,365,100.0
ctx-rh-medialorbitofrontal,365,365,100.0
ctx-rh-middletemporal,365,365,100.0
ctx-rh-parahippocampal,365,365,100.0
ctx-rh-paracentral,365,365,100.0
ctx-rh-parsopercularis,365,365,100.0
ctx-rh-parsorbitalis,365,365,100.0
ctx-rh-parstriangularis,365,365,100.0
ctx-rh-pericalcarine,365,365,100.0
ctx-rh-postcentral,365,365,100.0
ctx-rh-posteriorcingulate,365,365,100.0
ctx-rh-precentral,365,365,100.0
ctx-rh-precuneus,365,365,100.0
ctx-rh-rostralanteriorcingulate,365,365,100.0
ctx-rh-rostralmiddlefrontal,365,365,100.0
ctx-rh-superiorfrontal,365,365,100.0
ctx-rh-superiorparietal,365,365,100.0
ctx-rh-superiortemporal,365,365,100.0
ctx-rh-supramarginal,365,365,100.0
ctx-rh-transversetemporal,365,365,100.0
ctx-rh-insula,365,365,100.0
