region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.7759973418426795,0.7520701532444555,0.5133037695340066,0.9232603474271146,0.497583478982621,0.18308008054030878,0.806814734228046,0.29513139948142797,0.4893532772021093,0.32893989994361056,0.39997080309106925,0.39023408082096933,0.4740218945603025,0.8264949051134356,0.14072881860698827,0.3395186389677658,0.3242365788505195,0.17626037317155852,0.13566719937230243,0.0744648695738176,0.48356733322154954
Left-Thalamus-Proper,0.8324693864316349,0.8267492816295952,0.6070677189900083,0.91023676722141,0.44474889606654,0.3036278484681524,0.7504378973911789,0.17392936601315387,0.2371856595283821,0.254020106076236,0.4844017795727831,0.6300300072971183,0.25304892156318043,0.7617312130181039,0.2134271453377723,0.4156093227983793,0.3857595684442262,0.374600261007924,0.19699956851450423,0.0953014674964284,0.48493621190176317
Left-Caudate,0.9005433836860818,0.7973113231751371,0.5712673723060104,0.9336691024531532,0.36451904998904283,0.26526373210160925,0.715993873813122,0.162776207796886,0.22464898257811577,0.1488455457263511,0.48812358340898593,0.6287778247153563,0.23349140493888043,0.7220513475609021,0.2107672405885376,0.4437412059126895,0.3620532750404224,0.3292473264450503,0.13781435609558512,0.46660422640214283,0.48305807741986395
Left-Putamen,0.870218827787214,0.8076952142339808,0.5929679494765383,0.9130234421781778,0.3669010388986288,0.24122568966257685,0.6881709158299778,0.1526589358013525,0.18415067937927457,0.15645700249557087,0.4617584595583045,0.6159713680958845,0.23188824134711683,0.725837409317175,0.17426067665331563,0.4536951242859125,0.37299225549898785,0.38396637458841687,0.1544583194549728,0.3720487067853752,0.5033545689430403
Left-Pallidum,0.8865568848892799,0.7895030472283265,0.6218566539290048,0.9175950653598759,0.3879620469952958,0.2914556555510003,0.740784857067296,0.16031618915788043,0.07733285431399864,0.16394548645094315,0.5384189453631669,0.6563569064483892,0.22852464484785118,0.7434086663454025,0.22202919573369256,0.4715739731789717,0.3939704482193092,0.39895760257463436,0.2064486109203928,0.11514136592029128,0.49314226273136463
Brain-Stem,0.7829361504268213,0.8051991904342571,0.6398769778326299,0.885131251909026,0.44617526525584883,0.2546427206135173,0.7561631829989288,0.2040721627069372,0.05897493102953931,0.20817704166732331,0.4561590241126727,0.6496725108361585,0.22352167230368974,0.7578079650004225,0.20265469993191548,0.4487056345935523,0.3884853460873694,0.5531355511132343,0.22883457556822337,0.18446222324528155,0.4913027883397415
Left-Hippocampus,0.7687899877421589,0.8128909820424767,0.5894066076393649,0.9038661272412997,0.4596109830258961,0.2226189042687849,0.7878363872838724,0.12399362943600739,0.41514485942208,0.1662489246402622,0.4227960129122632,0.5322167997331961,0.17808613116157473,0.7200971341245375,0.1782611601618001,0.3855677195659474,0.3297773452353331,0.3063512039663769,0.16913809183600675,0.1865112365649935,0.49380316737824553
Left-Amygdala,0.8708672106831694,0.7836201066079631,0.5861946782508731,0.9140216316168488,0.4072796749828088,0.23992376831248974,0.6994936537824155,0.13561205003334023,0.2326169595414775,0.16423413782651478,0.4209585871033756,0.5729683690679035,0.3316393167685668,0.7036138535232003,0.1883341006065793,0.49309662576382424,0.34653436425935225,0.6114070766424369,0.19455482903267624,0.10740819436486518,0.49404458202395224
Left-Accumbens-area,0.8863781396834522,0.7509427524659176,0.5807909199528998,0.9207895625238509,0.4242253619574998,0.2621600631812765,0.7350805680967749,0.17212254031719745,0.15059345541903324,0.1662546225077272,0.5305242373675627,0.6692502172073649,0.2781655859238118,0.7013284534490484,0.2012856498351664,0.4471611075668246,0.3930573004582061,0.4456557844828538,0.1922703423803506,0.1775441280664553,0.48599610518526165
Left-VentralDC,0.8701352590181088,0.8031252786651366,0.6163685729828334,0.909970725607239,0.46400606177714265,0.30647055272556734,0.763737754197145,0.15528813576940514,0.10157232178182453,0.20766966552901064,0.5396151912618689,0.6532561523124588,0.22362465842456156,0.7457824255243563,0.23130826240075603,0.44991971446381457,0.37388672442164467,0.4119548184389882,0.22111328649883694,0.09492252813542139,0.4849123009181384
