region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.7546184235310335,0.7695505435342425,0.5034012005636258,0.9304989878756972,0.5036389075708845,0.27194100290744316,0.8349548305896223,0.1510982749090522,0.48881778349910093,0.3309062916182007,0.5094812436880971,0.389853183061199,0.3683382925450629,0.7731799253469502,0.18153511540065131,0.33055193669202254,0.3453031370270593,0.10564556848311402,0.13335251659219527,0.006254108359525446,0.44239641962786613
Left-Thalamus-Proper,0.7989936213721445,0.8283523695492205,0.6121430791648657,0.9214545963805013,0.4120483464060737,0.40651663982541125,0.7678183617034137,0.16565417776458718,0.26291519244007977,0.28344158418082044,0.6134904740564366,0.6523668059053792,0.298482124708832,0.7228581528790763,0.2932864763779771,0.3990836669399145,0.4030013622279736,0.3100239723918584,0.2028624774266996,0.06477510041365261,0.4740296408471067
Left-Caudate,0.8913209820082937,0.8240464782065325,0.5958623727503729,0.933414823473822,0.3600515062800115,0.40345883248226244,0.743727527774068,0.13225764285280195,0.26829319121027184,0.14673181650204187,0.6186138024869261,0.629061019390488,0.25984112818176325,0.7233680787557958,0.2778569472322666,0.43197434094357634,0.382994356389624,0.2732043917746647,0.18306743286764093,0.4361024960562847,0.452964140475974
Left-Putamen,0.8841073644226586,0.8116521363013234,0.5906727891466295,0.9298634307267586,0.3458954362523712,0.3850783060972838,0.7553130205881773,0.15486701217963356,0.20324715318204212,0.1252342733706376,0.5934902083637184,0.6306034042725552,0.24125716616183585,0.7309231413156101,0.26726818732042057,0.4385903844472366,0.38021984246916635,0.36700406784930906,0.1933072278966688,0.4155079549328986,0.47643340010519697
Left-Pallidum,0.8844914325427785,0.867468901593969,0.6787945797555732,0.9308607056497027,0.36811696305441755,0.4722575664276295,0.812793667525681,0.1543359289598451,0.14884590164530354,0.1637090434777993,0.6808245922638625,0.6858663182088072,0.27269848944156017,0.7895344676084095,0.36714013637281107,0.46776100951025573,0.42673122791044327,0.369851219805664,0.20725805830259325,0.03208533557672215,0.48877639988706323
Brain-Stem,0.7333773713748597,0.8199449599502638,0.6431783343851394,0.8976990413565175,0.40627001784394007,0.45440503438156393,0.7751629842763461,0.19230214815359778,0.04492895654813539,0.18435080150194635,0.6499013655432094,0.6675407293701436,0.25264647788246,0.7335695628185284,0.3009873779562412,0.4301913584286903,0.39260162507972257,0.43993360956143573,0.22108404605574433,0.11361900178579067,0.48918763016579575
Left-Hippocampus,0.7832677049100174,0.8078055126436721,0.6032712879337857,0.9278257770350358,0.38481863007637596,0.3424069856989053,0.8123554295660359,0.0934835912037182,0.4159685445645391,0.1766912187224899,0.559418256385053,0.5732219612572127,0.23301969593425456,0.6814123073169486,0.28973471327058176,0.37115085045058094,0.3411614847386828,0.29369209235225463,0.19198851459893868,0.12578512103956063,0.4962470643796724
Left-Amygdala,0.8360178578471748,0.7685790888891563,0.5949334003947799,0.9182565107659633,0.26584856756610054,0.33109602445001324,0.7244609121278822,0.1380902068412027,0.2546955169579623,0.1206540327134193,0.5416413489053016,0.5715111239299875,0.33065418653360656,0.7020393087225087,0.2631203322062421,0.4971333530077129,0.3862236579527695,0.6068525773370457,0.16383291334624112,0.0700764713721467,0.5099377786389168
Left-Accumbens-area,0.8938032968978915,0.7448777248718192,0.57599433606359,0.9225694256370103,0.30497728745710007,0.37442163972657233,0.7576458081785211,0.2289497071867456,0.16062749914810345,0.10801872417887355,0.6291504714643761,0.6198654719949124,0.28168154636069614,0.6931350041425348,0.28661739193247754,0.4933832473213906,0.40556483061746623,0.4129423740983502,0.14107057727039138,0.3983983264949777,0.5076936216280712
Left-VentralDC,0.8344648386133264,0.8052141491746223,0.6111417729631654,0.9298626083429534,0.4091737146736292,0.409402438021999,0.7570894392950289,0.13785837892560787,0.10514078381024007,0.22408087144510516,0.6469441216360614,0.6480179191953306,0.2944603915445242,0.6810654683490376,0.28197909706799296,0.45339209961864557,0.3972785486726108,0.3895319665008208,0.19459356223824498,0.07710856363134046,0.4837824318387618
